type,id,bnf_code,nm,form_route
amp,157311000001104,1304000V0BNAAAW,Dermacort hydrocortisone 0.1% cream (Marlborough Pharmaceuticals Ltd),cream.cutaneous
amp,4774211000001104,1304000V0BQAAAD,Mildison Lipocream 1% cream (Karo Pharma),cream.cutaneous
amp,646411000001105,1304000V0BTAAAJ,Eurax Hydrocortisone cream (Novartis Consumer Health UK Ltd),cream.cutaneous
amp,179411000001100,1304000V0BTABAJ,Eurax Hc cream (Thornton & Ross Ltd),cream.cutaneous
amp,2929511000001101,1304000V0BWAAAN,Alphaderm 1%/10% cream (Alliance Pharmaceuticals Ltd),cream.cutaneous
amp,536911000001105,1304000V0BXAAAP,Calmurid HC cream (Galderma (UK) Ltd),cream.cutaneous
amp,595711000001105,1304000V0BZABCA,Vioform-Hydrocortisone cream (Novartis Consumer Health UK Ltd),cream.cutaneous
amp,93111000001108,1304000V0CBABCB,Timodine cream (Alliance Pharmaceuticals Ltd),cream.cutaneous
amp,3693411000001103,1304000V0CCABCC,Terra-Cortril Nystatin cream (Pfizer Ltd),cream.cutaneous
amp,3088811000001101,1304000V0CFABCF,Nystaform HC cream (Typharm Ltd),cream.cutaneous
amp,859911000001101,1304000V0CGABCH,Daktacort 2%/1% cream (Janssen-Cilag Ltd),cream.cutaneous
amp,125711000001105,1304000V0CHABCI,Canesten HC cream (Bayer Plc),cream.cutaneous
amp,507311000001100,1304000V0CHACCI,Canesten Hydrocortisone cream (Bayer Plc),cream.cutaneous
amp,301011000001105,1304000V0CRAACH,Daktacort Hydrocortisone cream (McNeil Products Ltd),cream.cutaneous
amp,18543211000001102,1304000V0CVAAAN,Hydromol HC Intensive cream (Alliance Pharmaceuticals Ltd),cream.cutaneous
amp,18746311000001100,1304000V0CWAAAD,Hydrocortisone Bite and Sting Relief 1% cream (Galpharm International Ltd),cream.cutaneous
amp,3356211000001107,1304000W0BBAAAA,Locoid 0.1% cream (LEO Pharma),cream.cutaneous
amp,3357011000001104,1304000W0BBABAA,Locoid 0.1% Lipocream (LEO Pharma),cream.cutaneous
amp,137411000001107,1304000W0BBAECA,Locoid C cream (Astellas Pharma Ltd),cream.cutaneous
amp,4928011000001106,1304000X0BEAAAA,Lanacort 1% cream (Reckitt Benckiser Healthcare (UK) Ltd),cream.cutaneous
amp,2903711000001100,1304000X0BHABCB,Fucidin H cream (LEO Pharma),cream.cutaneous
amp,4928211000001101,1304000X0BMAAAA,Hc45 Hydrocortisone 1% cream (Reckitt Benckiser Healthcare (UK) Ltd),cream.cutaneous
amp,20551811000001104,1304000X0BNAAAA,Boots Bite and Sting Relief Hydrocortisone 1% cream (The Boots Company Plc),cream.cutaneous
amp,375111000001101,0107020J0BBAAAA,Anugesic HC cream (Pfizer Ltd),cream.rectal
amp,4019211000001107,1304000W0BBAGBD,Locoid Crelo 0.1% topical emulsion (LEO Pharma),emulsion.cutaneous
amp,4019211000001107,1304000W0BBAGBD,Locoid Crelo 0.1% topical emulsion (LEO Pharma),emulsion.scalp
amp,507711000001101,120101050BCAAAB,Otomize ear spray (Teva UK Ltd),emulsionspray.auricular
amp,3057311000001100,0107020J0BDAAAD,Proctofoam HC foam enema (Meda Pharmaceuticals Ltd),foam.cutaneous
amp,11550911000001107,0105020A0BCABAD,Budenofalk 2mg foam enema (Dr. Falk Pharma UK Ltd),foamenema.rectal
amp,3050211000001109,0105020B0BBAAAA,Colifoam 10% aerosol (Mylan),foamenema.rectal
amp,19208211000001105,0105020D0AAACAC,Prednisolone 20mg/application foam enema (Essential Generics Ltd),foamenema.rectal
amp,19565211000001106,0105020D0AAACAC,Prednisolone 20mg/application foam enema (Alliance Healthcare (Distribution) Ltd),foamenema.rectal
amp,20011611000001109,0105020D0AAACAC,Prednisolone 20mg/application foam enema (A A H Pharmaceuticals Ltd),foamenema.rectal
amp,37778111000001105,0105020D0AAACAC,Prednisolone 20mg/application foam enema (DE Pharmaceuticals),foamenema.rectal
amp,363511000001104,0105020D0BCAAAC,Predfoam 20mg/application enema (Chemidex Pharma Ltd),foamenema.rectal
amp,3057311000001100,0107020J0BDAAAD,Proctofoam HC foam enema (Meda Pharmaceuticals Ltd),foamenema.rectal
amp,35699311000001104,0603020J0BFAACX,Alkindi 0.5mg granules in capsules for opening (Diurnal Ltd),granules.oral
amp,35700011000001101,0603020J0BFABCY,Alkindi 1mg granules in capsules for opening (Diurnal Ltd),granules.oral
amp,35700311000001103,0603020J0BFACCZ,Alkindi 2mg granules in capsules for opening (Diurnal Ltd),granules.oral
amp,35697611000001104,0603020J0BFADDA,Alkindi 5mg granules in capsules for opening (Diurnal Ltd),granules.oral
amp,19738311000001103,0105020A0BCACAE,Budenofalk 9mg gastro-resistant granules sachets (Dr. Falk Pharma UK Ltd),granulesgastro-resistant.oral
amp,18043111000001105,1304000V0AABRBR,Hydrocortisone 1% lotion (Special Order),liquid.cutaneous
amp,29875111000001108,1104010F0AAAAAA,Clobetasone 0.1% eye drops (Special Order),liquiddrops.ophthalmic
amp,9400311000001101,1104010I0AAARAR,Dexamethasone 1% eye drops preservative free (Special Order),liquiddrops.ophthalmic
amp,9400611000001106,1104010I0AAAUAU,Dexamethasone 0.1% eye drops preservative free (Special Order),liquiddrops.ophthalmic
amp,35514311000001107,1104010I0BIAAAU,Eythalm 1mg/ml eye drops (Aspire Pharma Ltd),liquiddrops.ophthalmic
amp,9399411000001105,1104010S0AAAAAA,Prednisolone sodium phosphate 0.01% eye drops (Special Order),liquiddrops.ophthalmic
amp,9394011000001102,1104010S0AAAEAE,Prednisolone sodium phosphate 0.125% eye drops (Special Order),liquiddrops.ophthalmic
amp,9392511000001100,1104010S0AAAFAF,Prednisolone sodium phosphate 0.25% eye drops (Special Order),liquiddrops.ophthalmic
amp,16024411000001106,1104010S0AAALAL,Prednisolone sodium phosphate 0.003% eye drops (Special Order),liquiddrops.ophthalmic
amp,9389611000001107,1104010S0AAARAR,Prednisolone sodium phosphate 0.5% eye drops preservative free (Special Order),liquiddrops.ophthalmic
amp,9393411000001108,1104010S0AAAXAX,Prednisolone sodium phosphate 0.125% eye drops preservative free (Special Order),liquiddrops.ophthalmic
amp,9386811000001100,1104010S0AAAZAZ,Prednisolone sodium phosphate 0.01% eye drops preservative free (Special Order),liquiddrops.ophthalmic
amp,9399711000001104,1104010S0AABCBC,Prednisolone sodium phosphate 0.005% eye drops (Special Order),liquiddrops.ophthalmic
amp,9398211000001101,1104010S0AABKBK,Prednisolone sodium phosphate 0.03% eye drops (Drug Tariff Special Order),liquiddrops.ophthalmic
amp,9395211000001108,1104010S0AABLBL,Prednisolone sodium phosphate 0.1% eye drops (Drug Tariff Special Order),liquiddrops.ophthalmic
amp,9391311000001102,1104010S0AABMBM,Prednisolone sodium phosphate 0.3% eye drops (Drug Tariff Special Order),liquiddrops.ophthalmic
amp,9396711000001109,1104010S0AABNBN,Prednisolone sodium phosphate 0.05% eye drops (Drug Tariff Special Order),liquiddrops.ophthalmic
amp,9396211000001102,1104010S0AABPBP,Prednisolone sodium phosphate 0.05% eye drops preservative free (Drug Tariff Special Order),liquiddrops.ophthalmic
amp,9388911000001109,1104010S0AABQBQ,Prednisolone sodium phosphate 1% eye drops preservative free (Drug Tariff Special Order),liquiddrops.ophthalmic
amp,9397611000001103,1104010S0AABRBR,Prednisolone sodium phosphate 0.03% eye drops preservative free (Drug Tariff Special Order),liquiddrops.ophthalmic
amp,9394811000001108,1104010S0AABSBS,Prednisolone sodium phosphate 0.1% eye drops preservative free (Drug Tariff Special Order),liquiddrops.ophthalmic
amp,9390811000001103,1104010S0AABTBT,Prednisolone sodium phosphate 0.3% eye drops preservative free (Drug Tariff Special Order),liquiddrops.ophthalmic
amp,20984011000001105,0304010D0BBAEAE,Clarityn Rapide Allergy 10mg tablets (Bayer Plc),lyophilisate.oral
amp,11073111000001102,0304020ABBBAAAA,"Grazax 75,000 SQ-T oral lyophilisates (ALK-Abello Ltd)",lyophilisate.sublingual
amp,794811000001104,120101050BBAAAA,Sofradex ear/eye ointment (Florizel Ltd),ointment.auricular
amp,3991711000001109,1201010G0BBABAB,Neo-Cortef ear/eye ointment (PLIVA Pharma Ltd),ointment.auricular
amp,358611000001101,1201010Z0BDAAAC,Tri-Adcortyl Otic ointment (Bristol-Myers Squibb Pharmaceuticals Ltd),ointment.auricular
amp,4669611000001104,0107020B0BBAAAA,Betnovate rectal ointment (GlaxoSmithKline UK Ltd),ointment.cutaneous
amp,921611000001102,0107020F0BBAAAA,Ultraproct ointment (Meadow Laboratories Ltd),ointment.cutaneous
amp,429711000001108,0107020J0BCABAC,Anusol HC ointment (Church & Dwight UK Ltd),ointment.cutaneous
amp,289611000001105,0107020J0BCACAC,Anusol Plus HC ointment (Church & Dwight UK Ltd),ointment.cutaneous
amp,24642411000001103,0107020J0BCAFAC,Anusol Soothing Relief ointment (Church & Dwight UK Ltd),ointment.cutaneous
amp,539211000001105,0107020J0BEAAAE,Proctosedyl ointment (Sanofi),ointment.cutaneous
amp,754811000001109,0107020J0BFACAE,Uniroid HC ointment (Chemidex Pharma Ltd),ointment.cutaneous
amp,929011000001108,0107020J0BGAAAG,Xyloproct 5%/0.275% ointment (Aspen Pharma Trading Ltd),ointment.cutaneous
amp,226611000001108,0107020P0BCAAAC,Scheriproct ointment (LEO Pharma),ointment.cutaneous
amp,19522311000001100,0603020ACBBAAAA,Advantan 0.1% ointment (Imported (Germany)),ointment.cutaneous
amp,2927511000001108,1304000V0AABBBB,Hydrocortisone 0.5% ointment (A A H Pharmaceuticals Ltd),ointment.cutaneous
amp,3302011000001109,1304000V0AABBBB,Hydrocortisone 0.5% ointment (Kent Pharmaceuticals Ltd),ointment.cutaneous
amp,3304711000001101,1304000V0AABBBB,Hydrocortisone 0.5% ointment (Actavis UK Ltd),ointment.cutaneous
amp,3305911000001100,1304000V0AABBBB,Hydrocortisone 0.5% ointment (Alliance Healthcare (Distribution) Ltd),ointment.cutaneous
amp,3306711000001105,1304000V0AABBBB,Hydrocortisone 0.5% ointment (The Boots Company Plc),ointment.cutaneous
amp,4193811000001103,1304000V0AABBBB,Hydrocortisone 0.5% ointment (Teva UK Ltd),ointment.cutaneous
amp,14944211000001108,1304000V0AABBBB,Hydrocortisone 0.5% ointment (Essential Generics Ltd),ointment.cutaneous
amp,17923211000001102,1304000V0AABBBB,Hydrocortisone 0.5% ointment (Phoenix Healthcare Distribution Ltd),ointment.cutaneous
amp,22043511000001107,1304000V0AABBBB,Hydrocortisone 0.5% ointment (Waymade Healthcare Plc),ointment.cutaneous
amp,24152011000001108,1304000V0AABBBB,Hydrocortisone 0.5% ointment (DE Pharmaceuticals),ointment.cutaneous
amp,29871811000001104,1304000V0AABBBB,Hydrocortisone 0.5% ointment (Sigma Pharmaceuticals Plc),ointment.cutaneous
amp,30210011000001101,1304000V0AABBBB,Hydrocortisone 0.5% ointment (Mawdsley-Brooks & Company Ltd),ointment.cutaneous
amp,2930011000001103,1304000V0AABCBC,Hydrocortisone 1% ointment (A A H Pharmaceuticals Ltd),ointment.cutaneous
amp,3301911000001102,1304000V0AABCBC,Hydrocortisone 1% ointment (Kent Pharmaceuticals Ltd),ointment.cutaneous
amp,3302311000001107,1304000V0AABCBC,Hydrocortisone 1% ointment (Alliance Healthcare (Distribution) Ltd),ointment.cutaneous
amp,3305811000001105,1304000V0AABCBC,Hydrocortisone 1% ointment (Actavis UK Ltd),ointment.cutaneous
amp,4194011000001106,1304000V0AABCBC,Hydrocortisone 1% ointment (Teva UK Ltd),ointment.cutaneous
amp,9746411000001106,1304000V0AABCBC,Hydrocortisone 1% ointment (The Boots Company Plc),ointment.cutaneous
amp,14944511000001106,1304000V0AABCBC,Hydrocortisone 1% ointment (Essential Generics Ltd),ointment.cutaneous
amp,16373311000001101,1304000V0AABCBC,Hydrocortisone 1% ointment (Pinewood Healthcare),ointment.cutaneous
amp,17200711000001109,1304000V0AABCBC,Hydrocortisone 1% ointment (Sovereign Medical Ltd),ointment.cutaneous
amp,17923411000001103,1304000V0AABCBC,Hydrocortisone 1% ointment (Phoenix Healthcare Distribution Ltd),ointment.cutaneous
amp,18282911000001100,1304000V0AABCBC,Hydrocortisone 1% ointment (Strides Pharma UK Ltd),ointment.cutaneous
amp,22043711000001102,1304000V0AABCBC,Hydrocortisone 1% ointment (Waymade Healthcare Plc),ointment.cutaneous
amp,24152211000001103,1304000V0AABCBC,Hydrocortisone 1% ointment (DE Pharmaceuticals),ointment.cutaneous
amp,29873511000001103,1304000V0AABCBC,Hydrocortisone 1% ointment (Sigma Pharmaceuticals Plc),ointment.cutaneous
amp,30210611000001108,1304000V0AABCBC,Hydrocortisone 1% ointment (Mawdsley-Brooks & Company Ltd),ointment.cutaneous
amp,2932211000001109,1304000V0AABDBD,Hydrocortisone 2.5% ointment (A A H Pharmaceuticals Ltd),ointment.cutaneous
amp,3303511000001108,1304000V0AABDBD,Hydrocortisone 2.5% ointment (Kent Pharmaceuticals Ltd),ointment.cutaneous
amp,3306011000001108,1304000V0AABDBD,Hydrocortisone 2.5% ointment (Alliance Healthcare (Distribution) Ltd),ointment.cutaneous
amp,4194411000001102,1304000V0AABDBD,Hydrocortisone 2.5% ointment (Teva UK Ltd),ointment.cutaneous
amp,14944911000001104,1304000V0AABDBD,Hydrocortisone 2.5% ointment (Essential Generics Ltd),ointment.cutaneous
amp,17923811000001101,1304000V0AABDBD,Hydrocortisone 2.5% ointment (Phoenix Healthcare Distribution Ltd),ointment.cutaneous
amp,22043911000001100,1304000V0AABDBD,Hydrocortisone 2.5% ointment (Waymade Healthcare Plc),ointment.cutaneous
amp,24153311000001101,1304000V0AABDBD,Hydrocortisone 2.5% ointment (DE Pharmaceuticals),ointment.cutaneous
amp,29874011000001108,1304000V0AABDBD,Hydrocortisone 2.5% ointment (Sigma Pharmaceuticals Plc),ointment.cutaneous
amp,30210911000001102,1304000V0AABDBD,Hydrocortisone 2.5% ointment (Mawdsley-Brooks & Company Ltd),ointment.cutaneous
amp,33338311000001103,1304000V0AACNCN,"Nystatin 100,000units/g / Chlorhexidine acetate 1% / Hydrocortisone 1% ointment (Typharm Ltd)",ointment.cutaneous
amp,34838211000001107,1304000V0AACNCN,"Nystatin 100,000units/g / Chlorhexidine acetate 1% / Hydrocortisone 1% ointment (Alliance Healthcare (Distribution) Ltd)",ointment.cutaneous
amp,34895411000001108,1304000V0AACNCN,"Nystatin 100,000units/g / Chlorhexidine acetate 1% / Hydrocortisone 1% ointment (A A H Pharmaceuticals Ltd)",ointment.cutaneous
amp,2928411000001108,1304000V0BDAEBB,Efcortelan 0.5% ointment (Chemidex Pharma Ltd),ointment.cutaneous
amp,2931211000001102,1304000V0BDAFBC,Efcortelan 1% ointment (Chemidex Pharma Ltd),ointment.cutaneous
amp,2932511000001107,1304000V0BDAGBD,Efcortelan 2.5% ointment (Chemidex Pharma Ltd),ointment.cutaneous
amp,875811000001105,1304000V0BZACCL,Vioform-Hydrocortisone ointment (Novartis Consumer Health UK Ltd),ointment.cutaneous
amp,3143811000001107,1304000V0CCACCM,Terra-Cortril ointment (Pfizer Ltd),ointment.cutaneous
amp,21116111000001108,1304000V0CCAFCM,Terra-Cortril ointment (Intrapharm Laboratories Ltd),ointment.cutaneous
amp,3692511000001106,1304000V0CFACCN,Nystaform HC ointment (Typharm Ltd),ointment.cutaneous
amp,278911000001102,1304000V0CGACCS,Daktacort ointment (Janssen-Cilag Ltd),ointment.cutaneous
amp,911811000001106,1304000W0BBACBA,Locoid 0.1% ointment (LEO Pharma),ointment.cutaneous
amp,4369911000001100,1304000W0BBAFCB,Locoid C ointment (Astellas Pharma Ltd),ointment.cutaneous
amp,4965111000001106,1304000X0BEABBA,Lanacort 1% ointment (Reckitt Benckiser Healthcare (UK) Ltd),ointment.cutaneous
amp,2905011000001101,1304000X0BHACCG,Fucidin H ointment (LEO Pharma),ointment.cutaneous
amp,35486611000001102,1104010D0AAABAB,Betamethasone 0.1% eye ointment (RPH Pharmaceuticals AB),ointment.ophthalmic
amp,3807311000001107,1104010D0BBABAB,Betnesol 0.1% eye ointment (Focus Pharmaceuticals Ltd),ointment.ophthalmic
amp,4066611000001102,1104010D0BBACAD,Betnesol-N eye ointment (Focus Pharmaceuticals Ltd),ointment.ophthalmic
amp,4378611000001106,1104010I0BCABAF,Maxitrol eye ointment (Novartis Pharmaceuticals UK Ltd),ointment.ophthalmic
amp,3851911000001106,1104010M0AAACAC,Hydrocortisone 0.5% eye ointment (A A H Pharmaceuticals Ltd),ointment.ophthalmic
amp,3852311000001101,1104010M0AAACAC,Hydrocortisone 0.5% eye ointment (Martindale Pharmaceuticals Ltd),ointment.ophthalmic
amp,3852511000001107,1104010M0AAACAC,Hydrocortisone 0.5% eye ointment (Alliance Healthcare (Distribution) Ltd),ointment.ophthalmic
amp,32477311000001101,1104010M0AAACAC,Hydrocortisone 0.5% eye ointment (Special Order),ointment.ophthalmic
amp,4005011000001101,1104010M0AAADAD,Hydrocortisone 1% eye ointment (A A H Pharmaceuticals Ltd),ointment.ophthalmic
amp,4005211000001106,1104010M0AAADAD,Hydrocortisone 1% eye ointment (Martindale Pharmaceuticals Ltd),ointment.ophthalmic
amp,4249111000001103,1104010M0AAADAD,Hydrocortisone 1% eye ointment (Alliance Healthcare (Distribution) Ltd),ointment.ophthalmic
amp,20886111000001107,1104010M0AAADAD,Hydrocortisone 1% eye ointment (Special Order),ointment.ophthalmic
amp,3851011000001107,1104010M0AAAEAE,Hydrocortisone 2.5% eye ointment (Martindale Pharmaceuticals Ltd),ointment.ophthalmic
amp,3851211000001102,1104010M0AAAEAE,Hydrocortisone 2.5% eye ointment (A A H Pharmaceuticals Ltd),ointment.ophthalmic
amp,11530011000001107,1104010M0AAAEAE,Hydrocortisone 2.5% eye ointment (Alliance Healthcare (Distribution) Ltd),ointment.ophthalmic
amp,794811000001104,120101050BBAAAA,Sofradex ear/eye ointment (Florizel Ltd),ointment.ophthalmic
amp,3991711000001109,1201010G0BBABAB,Neo-Cortef ear/eye ointment (PLIVA Pharma Ltd),ointment.ophthalmic
amp,4669611000001104,0107020B0BBAAAA,Betnovate rectal ointment (GlaxoSmithKline UK Ltd),ointment.rectal
amp,429711000001108,0107020J0BCABAC,Anusol HC ointment (Church & Dwight UK Ltd),ointment.rectal
amp,289611000001105,0107020J0BCACAC,Anusol Plus HC ointment (Church & Dwight UK Ltd),ointment.rectal
amp,24642411000001103,0107020J0BCAFAC,Anusol Soothing Relief ointment (Church & Dwight UK Ltd),ointment.rectal
amp,539211000001105,0107020J0BEAAAE,Proctosedyl ointment (Sanofi),ointment.rectal
amp,754811000001109,0107020J0BFACAE,Uniroid HC ointment (Chemidex Pharma Ltd),ointment.rectal
amp,226611000001108,0107020P0BCAAAC,Scheriproct ointment (LEO Pharma),ointment.rectal
amp,28044511000001102,1203010M0AAABAB,Hydrocortisone 4mg pastilles (Special Order),pastille.oromucosal
amp,3190311000001103,0302000C0BCACAE,Becotide 100microgram Rotacaps (GlaxoSmithKline UK Ltd),powderinhalation.inhalation
amp,3192111000001101,0302000C0BCADAF,Becotide 200microgram Rotacaps (GlaxoSmithKline UK Ltd),powderinhalation.inhalation
amp,3194011000001108,0302000C0BCAGAI,Becotide 400microgram Rotacaps (GlaxoSmithKline UK Ltd),powderinhalation.inhalation
amp,3088611000001100,0302000C0BHAAAG,Becodisks 100microgram with Diskhaler (GlaxoSmithKline UK Ltd),powderinhalation.inhalation
amp,3086011000001108,0302000C0BHABAL,Becodisks 100microgram (GlaxoSmithKline UK Ltd),powderinhalation.inhalation
amp,3096011000001109,0302000C0BHACAH,Becodisks 200microgram with Diskhaler (GlaxoSmithKline UK Ltd),powderinhalation.inhalation
amp,3099811000001109,0302000C0BHADAK,Becodisks 200microgram (GlaxoSmithKline UK Ltd),powderinhalation.inhalation
amp,3102211000001109,0302000C0BHAEAJ,Becodisks 400microgram with Diskhaler (GlaxoSmithKline UK Ltd),powderinhalation.inhalation
amp,3104911000001109,0302000C0BHAFAQ,Becodisks 400microgram (GlaxoSmithKline UK Ltd),powderinhalation.inhalation
amp,3111911000001108,0302000C0BIADBI,Asmabec 50 Clickhaler (Focus Pharmaceuticals Ltd),powderinhalation.inhalation
